code,nameAr,nameEn,barcode,salePrice,vatRate
G001,ماء معدني 500مل,Mineral Water 500ml,6281007100001,1.50,15
G002,ماء معدني 1.5 لتر,Mineral Water 1.5L,6281007100002,3.00,15
G003,لبن طازج 1 لتر,Fresh Milk 1L,6281007100003,8.50,15
G004,لبن طويل الأجل 1 لتر,UHT Milk 1L,6281007100004,7.00,15
G005,زبادي كوب,Yogurt Cup,6281007100005,3.50,15
G006,جبنة بيضاء 200جم,White Cheese 200g,6281007100006,12.00,15
G007,جبنة شيدر شرائح,Cheddar Slices,6281007100007,18.00,15
G008,بيض 30 حبة,Eggs 30pcs,6281007100008,22.00,15
G009,خبز عربي صغير,Pita Bread Small,6281007100009,3.00,15
G010,خبز توست,Toast Bread,6281007100010,7.50,15
G011,أرز بسمتي 5كجم,Basmati Rice 5kg,6281007100011,68.00,15
G012,سكر أبيض 2كجم,White Sugar 2kg,6281007100012,16.00,15
G013,زيت طبخ 1.5 لتر,Cooking Oil 1.5L,6281007100013,28.00,15
G014,زيت زيتون 500مل,Olive Oil 500ml,6281007100014,38.00,15
G015,ملح طعام 750جم,Table Salt 750g,6281007100015,3.50,15
G016,شاي أحمر 100 كيس,Black Tea 100 Bags,6281007100016,18.00,15
G017,قهوة عربية 200جم,Arabic Coffee 200g,6281007100017,22.00,15
G018,قهوة سريعة الذوبان,Instant Coffee,6281007100018,32.00,15
G019,حليب مجفف 900جم,Powdered Milk 900g,6281007100019,42.00,15
G020,معكرونة سباجيتي 500جم,Spaghetti 500g,6281007100020,6.50,15
G021,معكرونة قصيرة 500جم,Pasta Penne 500g,6281007100021,6.50,15
G022,طماطم معلبة 400جم,Canned Tomato 400g,6281007100022,4.50,15
G023,تونة بالزيت 185جم,Tuna in Oil 185g,6281007100023,8.50,15
G024,فول مدمس 400جم,Foul Beans 400g,6281007100024,5.00,15
G025,حمص معلب 400جم,Chickpeas 400g,6281007100025,5.50,15
G026,عصير برتقال 1 لتر,Orange Juice 1L,6281007100026,10.00,15
G027,عصير تفاح 1 لتر,Apple Juice 1L,6281007100027,10.00,15
G028,بيبسي 330مل,Pepsi 330ml,6281007100028,2.50,15
G029,كوكاكولا 330مل,Coca-Cola 330ml,6281007100029,2.50,15
G030,سفن أب 330مل,7Up 330ml,6281007100030,2.50,15
G031,شيبس عائلي,Family Chips,6281007100031,5.00,15
G032,شيبس صغير,Small Chips,6281007100032,2.00,15
G033,بسكويت شاي,Tea Biscuits,6281007100033,3.50,15
G034,بسكويت شوكولاتة,Chocolate Biscuits,6281007100034,4.50,15
G035,شوكولاتة لوح,Chocolate Bar,6281007100035,5.00,15
G036,علكة,Gum Pack,6281007100036,2.00,15
G037,حلاوة طحينية 400جم,Tahini Halva 400g,6281007100037,15.00,15
G038,تمر سعودي 1كجم,Saudi Dates 1kg,6281007100038,35.00,15
G039,عسل سدر 500جم,Sidr Honey 500g,6281007100039,85.00,15
G040,مكسرات مشكلة 250جم,Mixed Nuts 250g,6281007100040,28.00,15
G041,صابون يدين,Hand Soap,6281007100041,7.00,15
G042,شامبو 400مل,Shampoo 400ml,6281007100042,22.00,15
G043,معجون أسنان,Toothpaste,6281007100043,12.00,15
G044,فرشاة أسنان,Toothbrush,6281007100044,8.00,15
G045,مناديل ورقية,Tissue Box,6281007100045,9.00,15
G046,ورق تواليت 4 لفات,Toilet Paper 4 Rolls,6281007100046,14.00,15
G047,منظف أرضيات 2 لتر,Floor Cleaner 2L,6281007100047,18.00,15
G048,منظف صحون 750مل,Dish Soap 750ml,6281007100048,12.00,15
G049,مسحوق غسيل 3كجم,Detergent 3kg,6281007100049,42.00,15
G050,أكياس قمامة 30 كيس,Trash Bags 30pcs,6281007100050,15.00,15
