code,nameAr,nameEn,barcode,salePrice,vatRate
R001,قلم جاف أزرق,Blue Pen,6281007200001,2.50,15
R002,قلم جاف أسود,Black Pen,6281007200002,2.50,15
R003,قلم رصاص HB,Pencil HB,6281007200003,2.00,15
R004,ممحاة,Eraser,6281007200004,1.50,15
R005,مسطرة 30سم,Ruler 30cm,6281007200005,3.50,15
R006,دفتر 100 ورقة,Notebook 100p,6281007200006,8.50,15
R007,دفتر سبيرال A5,Spiral A5,6281007200007,10.00,15
R008,ورق A4 رزمة,A4 Paper Ream,6281007200008,28.00,15
R009,مقص متوسط,Scissors Medium,6281007200009,12.00,15
R010,لاصق سائل,Liquid Glue,6281007200010,5.00,15
R011,شريط لاصق شفاف,Clear Tape,6281007200011,4.00,15
R012,دباسة صغيرة,Mini Stapler,6281007200012,15.00,15
R013,مشابك ورق,Paper Clips,6281007200013,3.50,15
R014,بطارية AA 4 حبات,AA Battery 4pcs,6281007200014,12.00,15
R015,بطارية AAA 4 حبات,AAA Battery 4pcs,6281007200015,12.00,15
R016,شاحن جوال USB-C,USB-C Charger,6281007200016,28.00,15
R017,كابل بيانات USB-C,USB-C Cable,6281007200017,18.00,15
R018,سماعة سلكية,Wired Earphones,6281007200018,22.00,15
R019,ماوس سلكي,Wired Mouse,6281007200019,32.00,15
R020,لوحة مفاتيح سلكية,Wired Keyboard,6281007200020,65.00,15
R021,حافظة موبايل,Phone Case,6281007200021,18.00,15
R022,واقي شاشة,Screen Protector,6281007200022,15.00,15
R023,حقيبة لاب توب,Laptop Bag,6281007200023,85.00,15
R024,منبه رقمي,Digital Alarm Clock,6281007200024,38.00,15
R025,مظلة عادية,Umbrella,6281007200025,28.00,15
R026,قبعة قطنية,Cotton Cap,6281007200026,22.00,15
R027,جوارب رياضية,Sport Socks,6281007200027,15.00,15
R028,منشفة متوسطة,Towel Medium,6281007200028,18.00,15
R029,مقلاة 24سم,Frying Pan 24cm,6281007200029,58.00,15
R030,أكواب بلاستيك 20 حبة,Plastic Cups 20pc,6281007200030,8.00,15
