code,nameAr,nameEn,barcode,salePrice,vatRate
ITM-1000,حليب جهينة كامل الدسم 1 لتر,Juhayna Full Cream Milk 1L,6220101000011,38.00,14
ITM-1001,حليب جهينة قليل الدسم 1 لتر,Juhayna Low Fat Milk 1L,6220101000028,38.00,14
ITM-1002,حليب جهينة خالي الدسم 1 لتر,Juhayna Skimmed Milk 1L,6220101000035,37.00,14
ITM-1003,حليب جهينة بالشوكولاتة 200 مل,Juhayna Chocolate Milk 200ml,6220101000042,12.00,14
ITM-1004,حليب جهينة بالفراولة 200 مل,Juhayna Strawberry Milk 200ml,6220101000059,12.00,14
ITM-1005,حليب جهينة بالموز 200 مل,Juhayna Banana Milk 200ml,6220101000066,12.00,14
ITM-1006,حليب جهينة كامل الدسم 250 مل,Juhayna Full Cream Milk 250ml,6220101000073,11.00,14
ITM-1007,حليب جهينة كامل الدسم 500 مل,Juhayna Full Cream Milk 500ml,6220101000080,22.00,14
ITM-1008,زبادي جهينة 105جم,Juhayna Yogurt 105g,6220101000097,8.00,14
ITM-1009,زبادي جهينة 170جم,Juhayna Yogurt 170g,6220101000103,12.00,14
ITM-1010,زبادي جهينة بالفواكه 105جم,Juhayna Fruit Yogurt 105g,6220101000110,10.00,14
ITM-1011,زبادي جهينة لايت 170جم,Juhayna Light Yogurt 170g,6220101000127,13.00,14
ITM-1012,زبادي جهينة دريم 170جم,Juhayna Dream Yogurt 170g,6220101000134,14.00,14
ITM-1013,زبادي يوناني جهينة 150جم,Juhayna Greek Yogurt 150g,6220101000141,18.00,14
ITM-1014,قشطة جهينة 100جم,Juhayna Cream 100g,6220101000158,16.00,14
ITM-1015,قشطة جهينة 200جم,Juhayna Cream 200g,6220101000165,28.00,14
ITM-1016,كريم كراميل جهينة,Juhayna Cream Caramel,6220101000172,14.00,14
ITM-1017,أرز باللبن جهينة,Juhayna Rice Pudding,6220101000189,15.00,14
ITM-1018,مهلبية جهينة,Juhayna Muhalabia,6220101000196,14.00,14
ITM-1019,عصير جهينة بيور برتقال 1 لتر,Juhayna Pure Orange Juice 1L,6220102000201,35.00,14
ITM-1020,عصير جهينة بيور مانجو 1 لتر,Juhayna Pure Mango Juice 1L,6220102000218,38.00,14
ITM-1021,عصير جهينة بيور جوافة 1 لتر,Juhayna Pure Guava Juice 1L,6220102000225,37.00,14
ITM-1022,عصير جهينة بيور فراولة 1 لتر,Juhayna Pure Strawberry Juice 1L,6220102000232,38.00,14
ITM-1023,عصير جهينة بيور أناناس 1 لتر,Juhayna Pure Pineapple Juice 1L,6220102000249,37.00,14
ITM-1024,عصير جهينة بيور كوكتيل 1 لتر,Juhayna Pure Cocktail Juice 1L,6220102000256,37.00,14
ITM-1025,عصير جهينة برتقال 235 مل,Juhayna Orange Juice 235ml,6220102000263,10.00,14
ITM-1026,عصير جهينة مانجو 235 مل,Juhayna Mango Juice 235ml,6220102000270,11.00,14
ITM-1027,عصير جهينة كوكتيل 235 مل,Juhayna Cocktail Juice 235ml,6220102000287,11.00,14
